source,sourceAlias,matchedSongs,matchedUniqueTitles,totalSongs,totalUniqueTitles,matchedUniqueRatio
figaro.js,Figaro,724,173,4112,726,23.83
others.js,非常驻妹妹,685,355,3212,1892,18.76
ray.js,來-Ray-,371,253,562,372,68.01
yoshika.js,よしか🦍,321,90,4503,584,15.41
ririsya.js,凛々咲,288,103,2255,761,13.53
suu_usuwa.js,稀羽すう,249,102,2709,634,16.09
momijimaru.js,紅葉丸,249,166,950,512,32.42
MunMosh.js,むんもっしゅ,190,68,1109,467,14.56
ibaramuan.js,茨むあん,181,146,572,451,32.37
culua.js,CULUA,142,98,516,331,29.61
323.js,323,110,90,333,258,34.88
naraetan.js,なれたん,101,60,1383,709,8.46
asuyumekanae.js,明日夢かなえ,99,55,1036,562,9.79
linon.js,天籠りのん,89,36,413,147,24.49
chiyutori .js,知悠,83,46,680,341,13.49
otomoneruki.js,音門るき,80,42,720,307,13.68
hinachibi.js,緋那ちび,76,64,166,133,48.12
stella.js,天ノ譜ステラ,75,45,228,139,32.37
sumica.js,澄花,72,26,739,302,8.61
kotatsu.js,はるこたつぶとん倶楽部,72,43,1075,498,8.63
shuna.js,朱名,60,46,1030,367,12.53
nayuta.js,nayuta,54,32,612,316,10.13
azki.js,AZKi,53,27,661,373,7.24
friends.js,联动,50,43,367,298,14.43
toka10summer.js,透夏,49,45,92,84,53.57
minaton.js,みなとん,47,34,119,91,37.36
kukuri.js,戸鎖くくり,43,31,547,361,8.59
nanashirikka.js,ななし律歌,40,39,124,120,32.5
relay.js,接力,40,38,348,324,11.73
hasumisahiro.js,羽澄さひろ,39,36,226,215,16.74
isshikiizu.js,一色イズ,33,32,90,87,36.78
mikage.js,深影,32,19,124,84,22.62
bv1qa9jb6eaw.js,陽月るるふ,32,32,96,94,34.04
suzuhanainori.js,鈴花いのり,29,29,108,103,28.16
yuri.js,優莉 yuri,29,19,122,65,29.23
karakurinne.js,からくりんね-KarakuRinne,27,22,212,185,11.89
noapolaris.js,ノア・ポラリス,27,26,74,70,37.14
aimarun.js,あいまるん。,27,24,53,47,51.06
stratia.js,すとらてぃあ-Stratia,24,23,142,137,16.79
romany.js,ロマニードットアイオー,22,12,263,123,9.76
tamamachipue.js,玉町ぷえ,18,17,69,66,25.76
ronaru.js,炉なる,18,17,51,46,36.96
hanamaruhareru.js,花丸晴琉,18,18,100,100,18
neno.js,碧生ねの,16,12,68,56,21.43
yamadasharo.js,山田シャロ,14,13,163,123,10.57
sakusan.js,酢酸,14,10,170,102,9.8
kyoka.js,響架,10,10,84,78,12.82
tulsi.js,魔王トゥルシー,10,9,39,37,24.32
chiyourachomi.js,千代浦蝶美,5,5,161,148,3.38
luminous.js,るみなす・すいーと,4,4,9,9,44.44
kanaruhanon.js,香鳴ハノン,3,3,131,117,2.56
gabinoheya.js,がびのお部屋,3,3,59,52,5.77
hoshiho.js,HoshiHo,2,1,328,299,0.33
hanabasamikyo.js,花鋏キョウ,2,2,8,8,25
